,Jellyfish,DayNight,IntTime
0,1,Day,0.8887878539426275
1,1,Day,0.8064797709590463
2,1,Day,0.7942451211745181
3,1,Day,0.8059796431737634
4,1,Day,0.8466250325380069
5,1,Day,0.7592875459921071
6,1,Day,0.7492548118592479
7,1,Day,0.83381836762321
8,1,Day,0.8533135776053431
9,1,Day,0.7008165588818906
10,1,Day,0.7943052082760484
11,1,Day,0.8347217655844048
12,1,Day,0.7434619825766049
13,1,Day,0.7400176340374056
14,1,Day,0.7935604082821861
15,1,Day,0.7946987928162912
16,1,Day,0.7852248656547101
17,1,Day,0.8556180572561818
18,1,Day,0.6649524918218326
19,1,Day,0.879431972274487
20,1,Day,0.698784343982009
21,1,Day,0.8427163640821931
22,1,Day,0.6539577927658016
23,1,Day,0.8867324440690929
24,1,Day,0.7152326891661964
25,1,Day,0.8034910189534408
26,1,Day,0.8234960907219815
27,1,Day,0.8427572706028243
28,1,Day,0.7218515413959459
29,1,Day,0.8206511039671476
30,1,Day,0.8142848828641824
31,1,Day,0.7583274856494775
32,1,Day,0.8005795515577816
33,1,Day,0.8484994981000007
34,1,Day,0.7509127489432394
35,1,Day,0.8398540362491964
36,1,Day,0.7985671817224471
37,1,Day,0.7901609067419813
38,1,Day,0.789464550836513
39,1,Day,0.8229875564413014
40,1,Day,0.7993783403591266
41,1,Day,0.7895682665852419
42,1,Day,0.7606715566163231
43,1,Day,0.9225320644143764
44,1,Day,0.8197974339743013
45,1,Day,0.7954286218974715
46,1,Day,0.8700985718309653
47,1,Day,0.8044067838578641
48,1,Day,0.7795194228787352
49,1,Day,0.7610220585639738
50,1,Day,0.7970153632425863
51,1,Day,0.8637058764994094
52,1,Day,0.7429432185728615
53,1,Day,0.7913797409646506
54,1,Day,0.850691883717495
55,1,Day,0.8919176356841376
56,1,Day,0.760957117184887
57,1,Day,0.8549447906398555
58,1,Day,0.7789192634100814
59,1,Day,0.8411545373755658
60,1,Day,0.8187143714776894
61,1,Day,0.8542737067817683
62,1,Day,0.8361715173114987
63,1,Day,0.8090832634552143
64,1,Day,0.7740124983899435
65,1,Day,0.850574911555583
66,1,Day,0.8182625944406752
67,1,Day,0.7964871501418713
68,1,Day,0.8607781102411209
69,1,Day,0.869998781269075
70,1,Day,0.8170024096671042
71,1,Day,0.7875980687208752
72,1,Day,0.8696117561035592
73,1,Day,0.9999860765646957
74,1,Day,0.7852116667123639
75,1,Day,0.9089786493598098
76,1,Day,0.82281675191728
77,1,Day,0.8650395537685966
78,1,Day,0.8774521180953272
79,1,Day,0.9119442894139382
80,1,Day,0.7884936917861296
81,1,Day,0.8215620491742044
82,1,Day,0.9247229483286645
83,1,Day,0.8875786147221163
84,1,Day,0.8205699265672877
85,1,Day,0.8542143653639584
86,1,Day,0.9303304552405649
87,1,Day,0.8746393173441191
88,1,Day,0.7973558542859678
